File Path	Tags	Source	Confidence	Verified	Title	Authors	Year	DOI	ISBN	arXiv	Sanity Passed	Sanity Score	Auto Safe	Needs OCR	Notes	Imported	Error	Suggested Command	Vision Used	Vision Trigger	Vision Status	Vision Error	Final Source
/home/jacob/Literature_pre_papis/02-156.pdf	imported	synthesized	medium	no	Borel Spaces	S. K. Berberian	1988				no	0.000	no	yes	combined local title/author/year candidates | best local guess; external verification failed | PDF text appears unreadable — OCR recommended	no		papis add /home/jacob/Literature_pre_papis/02-156.pdf --set title 'Borel Spaces' --set author 'S. K. Berberian' --set year 1988 --set tags imported --batch --no-confirm	yes	hard-case: no_identifier	bad_response_shape		synthesized
/home/jacob/Literature_pre_papis/Baysian/Miller J - JMLR - 2021-1.pdf	Baysian	synthesized	medium	no	Asymptotic normality, concentration, and coverage of generalized posteriors	Generalized Posteriors	2021				no	0.000	no	no	combined local title/author/year candidates | best local guess; external verification failed	no		papis add '/home/jacob/Literature_pre_papis/Baysian/Miller J - JMLR - 2021-1.pdf' --set title 'Asymptotic normality, concentration, and coverage of generalized posteriors' --set author 'Generalized Posteriors' --set year 2021 --set tags Baysian --batch --no-confirm	no	skipped: readable text with strong local candidate	skipped		synthesized
/home/jacob/Literature_pre_papis/Baysian/joseph/Marginal_Likelihood.pdf	Baysian, joseph	synthesized	medium	no	You Only Need The Last Layer	Joseph Wilson; Chris van der Heide; Liam Hodgkinson; Fred Roosta	2025				no	0.000	no	no	combined local title/author/year candidates | best local guess; external verification failed | rejected conflicting external match from crossref_search | crossref_score=1.000 | title-search match | sanity_score=0.000 (below threshold 0.4)	no		papis add /home/jacob/Literature_pre_papis/Baysian/joseph/Marginal_Likelihood.pdf --set title 'You Only Need The Last Layer' --set author 'Joseph Wilson and Chris van der Heide and Liam Hodgkinson and Fred Roosta' --set year 2025 --set tags 'Baysian joseph' --batch --no-confirm	no	skipped: readable text with strong local candidate	skipped		synthesized
/home/jacob/Literature_pre_papis/Books_from_internet/some_lecture_notes.pdf	Books_from_internet	synthesized	medium	no	Lecture 1: Prediction and PAC learning	Akshay Krishnamurthy	2017				no	0.000	no	no	combined local title/author/year candidates | best local guess; external verification failed	no		papis add /home/jacob/Literature_pre_papis/Books_from_internet/some_lecture_notes.pdf --set title 'Lecture 1: Prediction and PAC learning' --set author 'Akshay Krishnamurthy' --set year 2017 --set tags Books_from_internet --batch --no-confirm	no	skipped: readable text with strong local candidate	skipped		synthesized
/home/jacob/Literature_pre_papis/Gradient_flow/SGD/5576_a_new_characterization_of_the_.pdf	Gradient_flow, SGD	synthesized	medium	no	A New Characterization of the Edge of Stability Based on a Sharpness Measure Aware of Batch Gradient Distribution	Sungyoon Lee; Cheongjae Jang	2023				no	0.000	no	no	combined local title/author/year candidates | best local guess; external verification failed	no		papis add /home/jacob/Literature_pre_papis/Gradient_flow/SGD/5576_a_new_characterization_of_the_.pdf --set title 'A New Characterization of the Edge of Stability Based on a Sharpness Measure Aware of Batch Gradient Distribution' --set author 'Sungyoon Lee and Cheongjae Jang' --set year 2023 --set tags 'Gradient_flow SGD' --batch --no-confirm	no	skipped: readable text with strong local candidate	skipped		synthesized
/home/jacob/Literature_pre_papis/Grokking/2509.20829v1.pdf	Grokking	synthesized	medium	no	Explaining Grokking and Information Bottleneck through Neural Collapse Emergence	Keitaro Sakamoto; Issei Sato	2025			2509.20829v1	no	0.000	no	no	combined local title/author/year candidates | best local guess; external verification failed	no		papis add /home/jacob/Literature_pre_papis/Grokking/2509.20829v1.pdf --from arxiv 2509.20829v1 --set title 'Explaining Grokking and Information Bottleneck through Neural Collapse Emergence' --set author 'Keitaro Sakamoto and Issei Sato' --set year 2025 --set arxiv 2509.20829v1 --set tags Grokking --batch --no-confirm	no	skipped: readable text with strong local candidate	skipped		synthesized
/home/jacob/Literature_pre_papis/Grokking/information_bottleneck/1.pdf	Grokking, information_bottleneck	synthesized	medium	no	Opening the black box of Deep Neural Networks via Information	Ravid Schwartz-Ziv; Naftali Tishby	2017			1703.00810v3	no	0.000	no	no	combined local title/author/year candidates | best local guess; external verification failed	no		papis add /home/jacob/Literature_pre_papis/Grokking/information_bottleneck/1.pdf --from arxiv 1703.00810v3 --set title 'Opening the black box of Deep Neural Networks via Information' --set author 'Ravid Schwartz-Ziv and Naftali Tishby' --set year 2017 --set arxiv 1703.00810v3 --set tags 'Grokking information_bottleneck' --batch --no-confirm	no	skipped: readable text with strong local candidate	skipped		synthesized
/home/jacob/Literature_pre_papis/Hien_books_1/Lecture_Notes(20).pdf	Hien_books_1	error	low	no							no	0.000	no	no	exception during processing	no	expected string or bytes-like object, got 'list'		no		exception	expected string or bytes-like object, got 'list'	error
/home/jacob/Literature_pre_papis/Hien_books_11/Miller J - JMLR - 2021.pdf	Hien_books_11	synthesized	medium	no	Asymptotic normality, concentration, and coverage of generalized posteriors	Generalized Posteriors	2021				no	0.000	no	no	combined local title/author/year candidates | best local guess; external verification failed	no		papis add '/home/jacob/Literature_pre_papis/Hien_books_11/Miller J - JMLR - 2021.pdf' --set title 'Asymptotic normality, concentration, and coverage of generalized posteriors' --set author 'Generalized Posteriors' --set year 2021 --set tags Hien_books_11 --batch --no-confirm	no	skipped: readable text with strong local candidate	skipped		synthesized
/home/jacob/Literature_pre_papis/Hien_books_13/me_standard_borel/Universally_measurable_spaces_an_in.pdf	Hien_books_13, me_standard_borel	crossref_search	medium	no	Universally measurable spaces: an invariance theorem and diverse characterizations	Rae Shrott	1984	10.4064/fm-121-2-169-176			no	0.000	no	yes	crossref_score=1.000 | combined local title/author/year candidates | best local guess; external verification failed | title-search match | sanity_score=0.000 (below threshold 0.4)	no		papis add /home/jacob/Literature_pre_papis/Hien_books_13/me_standard_borel/Universally_measurable_spaces_an_in.pdf --from doi 10.4064/fm-121-2-169-176 --set title 'Universally measurable spaces: an invariance theorem and diverse characterizations' --set author 'Rae Shrott' --set year 1984 --set doi 10.4064/fm-121-2-169-176 --set publisher 'Institute of Mathematics, Polish Academy of Sciences' --set tags 'Hien_books_13 me_standard_borel' --batch --no-confirm	yes	hard-case: no_identifier	ok		crossref_search
